Time(s),T1,T2,T3,T4,T5,T6,T7,V1,V2,V3,V4,P
216,59.25,55.75,38.75,59.25,62.50,37.50,0.00,0,1,1,0,"353
"
217,59.25,56.50,39.00,59.25,63.00,37.75,0.00,0,0,1,1,"353
"
218,59.75,57.00,39.00,59.25,63.00,37.50,0.00,1,1,1,0,"353
"
219,58.75,56.25,39.00,59.25,62.50,37.50,0.00,0,1,0,1,"353
"
220,59.50,56.25,39.00,59.25,62.75,37.75,0.00,1,1,0,1,"353
"
221,59.50,55.50,39.00,59.25,63.25,37.50,0.00,1,0,0,1,"353
"
222,59.75,55.25,39.00,59.50,63.00,37.25,0.00,1,1,1,1,"353
"
223,59.25,55.25,38.50,59.50,63.00,37.75,0.00,1,1,1,0,"354
"
224,59.75,56.00,38.50,58.75,62.75,37.25,0.00,1,0,1,1,"353
"
225,59.75,55.75,39.00,59.50,63.00,37.25,0.00,0,1,1,1,"353
"
226,59.50,56.75,38.25,59.75,63.00,37.50,0.00,0,1,0,1,"353
"
227,59.75,56.50,38.50,59.00,62.50,37.50,0.00,0,1,0,1,"353
"
228,59.50,56.75,39.00,59.50,63.25,37.50,0.00,1,1,1,1,"353
"
229,59.75,56.25,39.00,59.50,63.25,37.50,0.00,0,1,1,0,"353
"
230,59.75,65.25,38.50,59.50,62.75,37.50,0.00,0,1,1,1,"353
"
231,59.75,62.75,39.00,59.75,63.25,37.25,0.00,0,0,1,0,"352
"
232,59.75,62.75,39.00,58.75,63.50,37.50,0.00,0,1,1,1,"352
"
233,60.00,62.50,39.00,60.00,63.25,37.75,0.00,1,1,0,0,"352
"
234,59.75,62.00,39.00,59.75,63.25,37.75,0.00,1,1,1,1,"353
"
235,59.25,66.25,39.00,59.75,62.75,37.25,0.00,1,0,0,0,"353
"
236,59.75,64.75,39.00,59.00,62.75,37.00,0.00,1,1,1,0,"353
"
237,59.75,68.25,39.00,59.50,63.25,37.25,0.00,0,1,0,0,"352
"
238,59.25,67.75,38.50,60.00,63.25,37.25,0.00,1,0,1,0,"352
"
239,59.75,68.50,39.00,59.25,63.25,37.50,0.00,1,0,1,1,"353
"
240,59.75,68.25,39.00,60.00,63.25,37.50,0.00,1,0,1,1,"352
"
241,59.25,70.25,39.00,59.50,63.50,37.50,0.00,0,1,1,1,"352
"
242,60.00,72.25,39.00,60.00,63.50,37.25,0.00,0,1,1,1,"352
"
243,60.00,72.25,39.25,59.50,63.25,37.75,0.00,0,1,0,1,"353
"
244,59.75,73.75,39.00,60.00,63.50,37.75,0.00,1,0,1,1,"352
"
245,60.00,69.50,38.75,60.00,63.75,37.50,0.00,1,1,1,0,"353
"
