Time(s),Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Water Outlet,Water Inlet,V1,V2,V3,V4,,
308,72.25,66,59.75,66,39.5,37.75,0,1,0,0,,
309,72,66,60,66,39.5,38,0,0,1,1,,
310,71.75,66.25,60,66.25,38.5,37.75,0,1,0,0,,
311,72.5,66,60,66,39.5,38,0,0,0,1,,
312,72.5,66,60,66,39.75,38,0,1,0,1,,
313,72.5,66.75,59.5,66.75,39.25,37.5,0,0,1,0,,
314,72.25,66,60,66,39.25,37.75,0,1,0,0,,
315,72,66.25,59.75,66.25,39,38,1,0,0,1,,
316,72.25,66.25,60,66.25,39,37.75,0,1,0,0,,
317,72,66.25,60,66.25,39,38,0,0,1,0,,
318,72.5,66.5,60,66.5,39.5,37.75,0,1,0,1,,
319,72.25,66.5,60,66.5,39.25,37.5,1,0,0,1,,
320,72.5,65.5,60,65.5,39.25,37.25,1,1,1,1,,
321,72.5,66.25,60.25,66.25,39.75,37.75,0,0,0,0,,
322,72.5,66.5,60.75,66.5,39.75,37.75,0,1,0,1,,
323,72.5,66.25,61,66.25,39.5,38.25,0,0,0,0,,
324,72.25,67.25,60.25,67.25,39.5,37.75,1,0,1,0,,
325,72.25,67.25,60.25,67.25,39.5,37.25,0,0,0,1,,
326,72.75,66.5,60.25,66.5,39.5,37.75,1,1,0,0,,
327,72.5,66.5,59.75,66.5,39.5,37.5,0,1,0,1,,
328,72.5,66.75,60.25,66.75,39.25,37.75,0,1,0,1,,
329,71.75,66.5,60.25,66.5,39.5,37.25,0,1,0,1,,
330,72.5,66,59.75,66,39.5,37.5,0,0,0,0,,
331,72.5,66.5,60,66.5,39.5,37.75,0,0,0,0,,
332,72.5,67,60.25,67,38.75,37.5,1,1,0,1,,
333,72.25,66.75,60.5,66.75,39.25,37.5,0,0,0,1,,
334,72.5,67.25,60.25,67.25,39.5,37.25,0,1,0,1,,
335,72,66.5,60.25,66.5,39.5,37.75,0,1,0,1,,
336,72.5,66.5,59.75,66.5,39,37.5,1,0,1,1,,
337,72,66.5,60,66.5,38.5,37.5,0,0,0,1,,
338,72.5,66.75,59.75,66.75,39,37.25,0,0,0,0,,
339,72.25,66.75,59.75,66.75,39.25,37.5,0,0,1,0,,
340,72.25,66.25,60,66.25,39.5,37.75,0,1,0,1,,
341,72,66.75,59.75,66.75,39.25,37,0,0,1,1,,
342,72.25,66.5,60,66.5,39.25,36.75,0,0,0,0,,
343,72.75,66.5,59.5,66.5,38.75,37.25,1,0,0,0,,
344,72.5,66.5,59.75,66.5,39,37.25,1,0,0,1,,
345,72.5,66.75,60.25,66.75,39.25,37.5,0,0,0,0,,
346,72.5,66.75,60,66.75,39,36.75,1,0,1,0,,
347,72.75,66.5,59.75,66.5,39,37.5,0,1,0,1,,
348,72.75,67,60.25,67,39.5,37.5,1,0,1,1,,
349,72.5,66.75,60.25,66.75,39,37.25,0,0,0,0,,
350,72.5,65.75,60,65.75,39.25,37.5,0,0,0,0,,
351,72.5,66.25,59.25,66.25,39,37.25,0,1,1,1,,
352,72.75,66.5,60.25,66.5,39.25,37.75,0,0,0,1,,
353,72.75,66.25,60.25,66.25,39,37,0,1,1,1,,
354,72.75,66.5,60,66.5,39.25,37.75,0,0,0,0,,
355,72.5,66.5,60,66.5,38.75,37,1,0,0,1,,
356,72.5,66.5,59.75,66.5,39,37.25,0,0,0,0,,
357,72.25,67,60,67,39,37.5,0,0,0,0,,
358,72.75,66.5,59,66.5,39,37,0,1,0,1,,
359,72.75,66.75,59.25,66.75,39,37.5,0,0,0,0,,
360,72.75,66.5,59.25,66.5,39.25,37.5,0,1,1,1,,
361,72.5,66.5,59.25,66.5,38.5,37.5,0,0,0,0,,
362,72.5,66.25,59.25,66.25,38.75,37.5,0,0,1,0,,
363,72.75,66.5,59.75,66.5,38.75,37.5,1,0,0,1,,
364,72.75,66.5,60,66.5,39,36.75,0,0,0,0,,
365,72.5,66.25,60.25,66.25,39,37.5,0,1,0,1,,
366,72.75,66.75,59.5,66.75,39,37.25,0,0,0,0,,
367,72,66.75,59.75,66.75,39,37.5,0,1,1,1,,
368,72.75,66.75,59.25,66.75,39.25,37.25,0,0,0,0,,
369,73,66.25,59.25,66.25,39.25,36.75,0,0,1,1,,
370,72.75,66.75,60,66.75,39,37.5,0,1,1,1,,
371,72.25,66.75,60.25,66.75,39,37,1,1,0,1,,
372,72.75,66.5,60,66.5,38.75,37.5,0,0,0,1,,
373,72.5,66.5,60.5,66.5,38.75,37.25,1,0,0,0,,
374,72.75,66.75,59.75,66.75,39,37.25,0,1,0,1,,
375,72.5,66.75,60.25,66.75,38.5,37.25,0,1,0,0,,
376,72.5,66.75,60,66.75,38.75,37.25,0,0,0,1,,
377,72.5,66.5,60.25,66.5,39,37,0,1,0,0,,
378,72.75,66.75,60.25,66.75,38.5,37.25,0,0,1,0,,
379,73.25,66.75,59.5,66.75,38.75,37.25,0,1,0,1,,
380,72.75,66.25,59.75,66.25,39.25,37.5,0,1,0,1,,
381,73,67,59.5,67,39,37.75,0,0,0,1,,
382,73,67,59,67,39,37.25,0,0,0,0,,
383,72.25,66.5,59.5,66.5,39.25,37.5,0,1,0,1,,
384,73,67.25,60,67.25,38.75,37.5,0,1,0,0,,
385,72.75,67,59.5,67,38.5,36.75,0,1,1,0,,
